582.8444 	WARNING 	Requested image u'marat\xf3n' not found but similar filename u'marat\xf3n.png' exists. This will be used instead but changing the filename is advised.
582.8715 	EXP 	vocabPicAssoc: autoDraw = False
582.8715 	EXP 	TranslationTraining: autoDraw = False
582.8715 	EXP 	image: autoDraw = False
582.8715 	EXP 	pressSpace: autoDraw = False
582.8715 	EXP 	vocabPicAssoc: text = u'el marat\xf3n'
582.8715 	EXP 	TranslationTraining: text = u'marathon'
582.8715 	EXP 	image: image = u'marat\xf3n'
582.8715 	EXP 	vocabPicAssoc: autoDraw = True
582.8715 	EXP 	TranslationTraining: autoDraw = True
582.8715 	EXP 	image: autoDraw = True
582.9749 	DATA 	Keypress: space
582.9766 	EXP 	New trial (rep=0, index=18): OrderedDict([(u'MatchingSection', u'el jardinero?'), (u'ColumnA', u'jardinero'), (u'ColumnF', u'fregadero'), (u'ColumnJ', u'aviso'), (u'ColumnSemicolon', u'saltarlacuerda'), (u'Translation', u'gardener'), (u'CorrectAnswer', u'a'), (u'Training', None), (u'TrainingFull', u'el jardinero'), (u'imagename', u'jardinero'), (u'Counterbalance', 1)])
582.9941 	WARNING 	Requested image u'jardinero' not found but similar filename u'jardinero.jpg' exists. This will be used instead but changing the filename is advised.
583.0555 	EXP 	vocabPicAssoc: autoDraw = False
583.0555 	EXP 	TranslationTraining: autoDraw = False
583.0555 	EXP 	image: autoDraw = False
583.0555 	EXP 	pressSpace: autoDraw = False
